name,iau,nasa,genitive,pronunciation_name,pronunciation_genitive,symbolism,origin,note
Andromeda,And,Andr,Andromedae,/ænˈdrɒmɪdə/,/ænˈdrɒmɪdiː/,"Andromeda, the Chained Woman",ancient (Ptolemy),
Antlia,Ant,Antl,Antliae,/ˈæntliə/,/-lii/,the Air Pump,"1763, Lacaille",
Apus,Aps,Apus,Apodis,/ˈeɪpəs/,"/ˈeɪpə, ˈæpə, əˈpoʊ-dɪs/",The Bird-of-Paradise,"1603, Uranometria, created by Keyser and de Houtman",
Aquarius,Aqr,Aqar,Aquarii,/əˈkwɛəriəs/,/əˈkwɛəriaɪ/,the Water-Bearer,ancient (Ptolemy),
Aquila,Aql,Aqil,Aquilae,"/ˈækwɪlə/, /əˈkwɪlə/",/ˈækwɪliː/,the Eagle,ancient (Ptolemy),
Ara,Ara,Arae,Arae,/ˈɛərə/,/ˈɛəriː/,the Altar,ancient (Ptolemy),
Aries,Ari,Arie,Arietis,/ˈɛəriːz/,"/əˈraɪətəs/, /ˌæriˈɛtəs/",the Ram,ancient (Ptolemy),
Auriga,Aur,Auri,Aurigae,/ɔːˈraɪɡə/,/ɔːˈraɪdʒiː/,the Charioteer,ancient (Ptolemy),
Boötes,Boo,Boot,Boötis,/boʊˈoʊtiːz/,/boʊˈoʊtɪs/,The Herdsman,ancient (Ptolemy),
Caelum,Cae,Cael,Caeli,/ˈsiːləm/,/ˈsiːlaɪ/,the chisel,"1763, Lacaille",
Camelopardalis,Cam,Caml,Camelopardalis,/kəˌmɛləˈpɑːrdəlɪs/,/kəˌmɛləˈpɑːrdəlɪs/,Giraffe,"1613, Plancius",
Cancer,Cnc,Canc,Cancri,/ˈkænsər/,/ˈkæŋkraɪ/,the Crab,ancient (Ptolemy),
Canes Venatici,CVn,CVen,Canum Venaticorum,/ˈkeɪniːz vɪˈnætɪsaɪ/ KAY-neez vin-AT-iss-eye,/ˈkeɪnəm vɪnætɪˈkɔːrəm/ KAY-nəm vin-AT-ih-KOR-əm,the Hunting Dogs,"1690, Firmamentum Sobiescianum, Hevelius",
Canis Major,CMa,CMaj,Canis Majoris,/ˌkeɪnɪs ˈmeɪdʒər/ KAY-niss MAY-jər,/ˌkeɪnɪs məˈdʒɔːrɪs/ KAY-niss mə-JOR-iss,the greater dog,ancient (Ptolemy),
Canis Minor,CMi,CMin,Canis Minoris,/ˌkeɪnɪs ˈmaɪnər/ KAY-niss MY-nər,/ˌkeɪnɪs mɪˈnɔːrɪs/ KAY-niss min-OR-iss,The Lesser Dog,ancient (Ptolemy),
Capricornus,Cap,Capr,Capricorni,/ˌkæprɪˈkɔːrnəs/,/ˌkæprɪˈkɔːrnaɪ/,the Sea-Goat,ancient (Ptolemy),
Carina,Car,Cari,Carinae,"/kəˈraɪnə, kəˈriːnə/ kə-RY-nə, -⁠REE-",/kəˈraɪniː/ kə-RY-nee,the keel,"1763, Lacaille, split from Argo Navis",
Cassiopeia,Cas,Cass,Cassiopeiae,"/ˌkæsiəˈpiːə, -sioʊ-/, /ˌkæsiˈoʊpiə/","/ˌkæsiəˈpiːaɪ, -sioʊ-, -iː/",the Seated Queen,ancient (Ptolemy),
Centaurus,Cen,Cent,Centauri,"/sɛnˈtɔːrəs, -ˈtɑːr-/","/sɛnˈtɔːraɪ, -ˈtɔːri, -ˈtɑːri/",the Centaur,ancient (Ptolemy),
Cepheus,Cep,Ceph,Cephei,"/ˈsiːfiəs/, /ˈsiːfjuːs/",/ˈsiːfiaɪ/,the King/King Cepheus,ancient (Ptolemy),
Cetus,Cet,Ceti,Ceti,/ˈsiːtəs/,/ˈsiːtaɪ/,"the Whale, Shark, or Sea Monster",ancient (Ptolemy),
Chamaeleon,Cha,Cham,Chamaeleontis,/kəˈmiːliən/,/kəˌmiːliˈɒntɪs/,the Chameleon,"1603, Uranometria, created by Keyser and de Houtman",
Circinus,Cir,Circ,Circini,/ˈsɜːrsɪnəs/,/ˈsɜːrsɪnaɪ/,Compass,"1763, Lacaille",
Columba,Col,Colm,Columbae,/kəˈlʌmbə/,/kəˈlʌmbiː/,the dove,"1592, Plancius, split from Canis Major",
Coma Berenices,Com,Coma,Comae Berenices,/ˈkoʊmə bɛrəˈnaɪsiːz/,/ˈkoʊmiː/,Berenice's hair,"1536, Caspar Vopel, split from Leo",
Corona Australis,CrA,CorA,Coronae Australis,/kəˈroʊnə ɔːˈstreɪlɪs/,/kəˈroʊni/,The Southern Crown,ancient (Ptolemy),
Corona Borealis,CrB,CorB,Coronae Borealis,"/kəˈroʊnə ˌbɔːriˈælɪs, -ˌboʊ-, -ˈeɪlɪs/",/kəˈroʊni/,The Northern Crown,ancient (Ptolemy),
Corvus,Crv,Corv,Corvi,/ˈkɔːrvəs/,/ˈkɔːrvaɪ/,the Crow/Raven,ancient (Ptolemy),
Crater,Crt,Crat,Crateris,/ˈkreɪtər/,/krəˈtiːrɪs/,the cup,ancient (Ptolemy),
Crux,Cru,Cruc,Crucis,/krʌks/,/ˈkruːsɪs/,Southern Cross,"1589, Plancius, split from Centaurus",
Cygnus,Cyg,Cygn,Cygni,/ˈsɪɡnəs/,/ˈsɪɡnaɪ/,the Swan or Northern Cross,ancient (Ptolemy),
Delphinus,Del,Dlph,Delphini,/dɛlˈfaɪnəs/,/dɛlˈfaɪnaɪ/,dolphin,ancient (Ptolemy),
Dorado,Dor,Dora,Doradus,/dəˈreɪdoʊ/,/dəˈreɪdəs/,the dolphinfish,"1603, Uranometria, created by Keyser and de Houtman",
Draco,Dra,Drac,Draconis,/ˈdreɪkoʊ/,/drəˈkoʊnɪs/,the Dragon,ancient (Ptolemy),
Equuleus,Equ,Equl,Equulei,/ɪˈkwuːliəs/,/ɪˈkwuːliaɪ/,the pony,ancient (Ptolemy),
Eridanus,Eri,Erid,Eridani,/ɪˈrɪdənəs/,/ɪˈrɪdənaɪ/,the river Eridanus,ancient (Ptolemy),
Fornax,For,Forn,Fornacis,/ˈfɔːrnæks/,/fɔːrˈneɪsɪs/,the brazier,"1763, Lacaille",
Gemini,Gem,Gemi,Geminorum,/ˈdʒɛmɪˌnaɪ/ JEM-ih-ny,/ˌdʒɛmɪˈnɔːrəm/ JEM-ih-NOR-əm,"the Twins, Castor and Pollux",ancient (Ptolemy),
Grus,Gru,Grus,Gruis,"/ˈɡrʌs/, /ˈɡruːs/",/ˈɡruːɪs/,the crane,"1603, Uranometria, created by Keyser and de Houtman",
Hercules,Her,Herc,Herculis,/ˈhɜːrkjʊliːz/,/ˈhɜːrkjʊlɪs/,Heracles,ancient (Ptolemy),
